ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Prefered social media platform,Time spent on TV,Number of meals per day,Change in your weight,Healthissueduringlockdown,Stress busters,Time utilized,Relationship with around,What you miss the most
R1,1,21,2,3,0,4,0,7,3,3,1,4,2,0,Cooking,1,1,School/college
R2,1,21,0,4,1,0,2,10,3,2,0,3,0,0,Scrolling through social media,1,0,Roaming around freely
R3,1,20,7,0,0,3,0,6,2,3,0,3,1,0,Listening to music,0,1,Travelling
R4,1,20,3,0,1,2,1,6,5,0,0,3,0,0,Watching web series,0,0,"Friends , relatives"
R5,1,21,3,3,0,3,1,8,3,0,1,4,1,0,Social Media,0,0,Travelling
R6,1,21,0,0,1,6,0,5,1,2,0,1,0,1,Coding and studying for exams,0,1,School/college
R7,1,19,2,0,1,2,1,5,4,0,0,3,2,0,Watching web series,0,1,"Friends , relatives"
R8,0,19,2,0,2,1,1,10,5,0,0,3,2,1,Scrolling through social media,0,1,Eating outside
R9,1,21,3,0,0,4,1,8,2,1,1,3,2,0,Online surfing,0,0,"Friends , relatives"
R10,0,20,0,0,0,1,0.5,8,5,0,3,3,0,1,live stream watching,0,0,School/college
R11,1,21,3,3,0,3,1,8,3,0,1,4,1,0,Social Media,0,0,Colleagues
R12,1,21,1,0,0,0,1,7,3,0,1,2,2,1,Watching web series,1,1,Eating outside
R13,1,21,3,2,0,0,0,8,3,0,0,3,2,1,Listening to music,0,0,School/college
R14,0,22,1,3,0,2,0,7,0,6,0.5,2,2,0,Reading,1,1,Travelling
R15,1,20,5,0,0,1,0,8,3,0,0,3,1,0,Scrolling through social media,0,0,Eating outside
R16,1,22,3,2,1,3,1,6,2,0,1,3,2,0,Online gaming,1,1,Eating outside
R17,0,20,0,3,1,0,0,8,2,8,1,3,2,0,Online gaming,0,1,Colleagues
R18,1,20,1,0,1,2,1,8,1,2,0,3,1,0,Listening to music,0,0,Roaming around freely
R19,1,21,0,0,0,4,0,7,7,2,0,2,1,0,Reading books,0,0,"Friends , relatives"
R20,1,22,5,0,1,2,1,8,4,0,0,3,2,0,Dancing,1,1,"Friends , relatives"
R21,1,20,4,4,0,5,0,6,2,3,1,2,0,0,Listening to music,1,1,Roaming around freely
R22,1,21,5,2,0,2,1,10,5,0,2,3,1,0,Talking with friends ,1,0,School/college
R23,1,21,4,0,1,1,0,8,6,0,1,4,0,0,Watching web series,0,1,School/college
R24,1,21,4,2,0,2,1,7,1,3,0,3,0,0,Dancing,1,1,Travelling
R25,1,20,3,0,1,4,2,9,2,0,1,3,0,0,Reading books,1,0,School/college
R26,1,20,5,0,1,2,0,9,5,3,3,2,2,0,Talking to your relatives,1,1,Eating outside
R27,1,21,4,0,0,5,0,8,3,0,0,2,2,1,Listening to music,0,1,School/college
R28,1,20,3,0,0,6,0,9,2,1,0,2,1,0,Listening to music,0,0,Roaming around freely
R29,1,31,8,2,0,4,1,6,2,3,0.5,3,1,0,Listening to music,1,1,Job
R30,1,22,4,0,1,6,1,5,3,2,0,4,1,0,"sketching,reading books,meditation,songs",0,0,"Friends , relatives"
R31,1,19,4,0,1,5,1,7,2,1,1,2,0,1,Listening to music,1,1,Roaming around freely
R32,1,23,4,4,0,18,1,8,2,7,0,2,0,0,Reading books,1,1,Travelling
R34,1,22,5,0,0,1,0,6,2,3,0.5,3,0,1,Watching web series,1,1,"Friends , relatives"
R36,0,21,6,2,1,2,1,8,3,0,1,3,1,0,Cooking,0,1,"Friends , relatives"
R37,1,17,4,0,0,1,1,7,1.5,0,0,3,0,0,Reading books,0,1,Travelling
R38,0,20,4,2,0,2,0,8,2,0,0,3,2,0,Sleep,0,1,Eating outside
R39,0,22,1,0,1,2,0.5,8,2,3,2,3,2,0,Listening to music,0,1,School/college
R41,1,24,4,3,0,4,2,6,4,2,0,4,2,0,Social Media,1,1,Travelling
R42,0,21,0,0,0,0,0,10,8,2,1,4,1,0,Watching web series,1,0,Travelling
R43,1,20,7,0,1,2,1,8,2,1,2,4,1,1,Listening to music,0,0,Roaming around freely
R44,1,21,5,0,0,3,1,8,1,0,0,2,2,0,Listening to music,0,0,Eating outside
R45,1,18,2,2,1,2,3,12,1,3,0,4,1,0,Sleep,0,0,"Friends , relatives"
R46,1,22,3,0,0,2,0,8,1,0,0,4,2,0,Cooking,0,1,Eating outside
R47,1,20,2,0,1,6,2,7,1,0,3,6,0,0,Listening to music,1,0,Roaming around freely
R48,1,20,2,0,1,3,0,6,2,2,0,3,0,1,Reading books,0,0,School/college
R49,1,21,3,0,0,4,2,8,2,5,0,4,2,0,Listening to music,1,1,Travelling
R50,1,18,4,3,0,2,0,8,4,0,0,3,1,0,Social Media,1,1,Colleagues
R51,1,19,0,0,1,1,0,8,2,2,2,3,1,1,Online gaming,0,1,School/college
R52,1,20,5,2,0,6,1,7,2,1,0,3,1,0,Reading books,0,1,Roaming around freely
R53,1,21,3,2,0,17,0,5,1,2,0,3,2,0,Online gaming,0,0,"Friends , relatives"
R54,1,19,0,2,1,2,2,10,1,0,0.5,4,1,0,Reading books,1,1,Roaming around freely
R55,1,21,4,2,1,4,1,8,2,2,2,4,1,0,Sleep,1,1,Gym
R56,1,19,4,0,1,2,0,7,1,1,0,3,2,1,Watching web series,1,1,Roaming around freely
R57,1,19,2,0,1,2,2,8,1,2,0,4,2,0,Listening to music,0,1,"Friends , relatives"
R58,1,18,1,0,1,8,0,8,5,2,2,3,2,0,Online surfing,1,1,School/college
R59,1,20,5,2,0,1,1,7,1,1,0,3,2,1,Listening to music,0,1,School/college
R60,1,21,0,0,1,5,0,8,1,0,1,3,1,0,Online gaming,1,0,Eating outside
R61,1,22,6,0,0,6,0,6,1,0,0,2,2,0,Watching web series,1,0,"Friends , relatives"
